IRIS,total_population,elderly_55_plus,pct_elderly_55,elderly_55_plus_alone,pct_elderly_55_alone,elderly_80_plus_alone
132010101,1288.42954671677,419.7690160900166,32.58,124.23803334401221,29.6,29.0405358704388
132010102,1752.34833524919,473.33107039103857,27.01,293.2929066525702,61.96,41.8670793858282
132010103,2046.49634068814,683.9976967471861,33.42,258.5859377776445,37.81,42.6726234584565
132010104,2498.90025676361,839.4884766542411,33.59,370.39641744138885,44.12,41.5900404126979
132010201,1932.34948602331,567.3083982483156,29.36,269.7935493149747,47.56,26.6075423572057
132010202,2024.87604358169,621.2370341131868,30.68,261.807913169279,42.14,39.891367107866
132010203,1621.93552179609,555.550427211308,34.25,223.9434505024645,40.31,36.3683986669955
132010301,371.147619023424,57.045294659131144,15.37,33.88681244380274,59.4,3.38289548465154
132010302,1886.96058116509,401.1860561191271,21.26,212.5423367258768,52.98,18.9539009825188
132010303,1292.81298300594,325.25680154670385,25.16,182.1180690811926,55.99,12.5492765036136
132010401,1412.82248642307,383.96042412382127,27.18,81.7207463749885,21.28,14.5594732183409
132010402,3406.29741712354,1132.389440477604,33.24,374.907530207887,33.11,108.353869197489
132010501,1282.3755415451,405.50230888472083,31.62,243.3116233959014,60.0,53.6053005438244
132010502,1765.42592082219,526.2815517520575,29.81,178.848315967802,33.98,33.863066512579
132010503,2108.57592297984,529.1439141623405,25.09,307.2326658795884,58.06,52.5762985600874
132010504,1961.0037000684,791.204732110089,40.35,352.8708097232528,44.6,69.2549240160028
132010505,108.153263923483,30.695663971255442,28.38,15.22350907774824,49.59,2.50500909644764
132010601,2601.13544920229,601.2089959516072,23.11,306.6047335451496,51.0,23.8984511817406
132010602,1866.73172076846,525.2642263321665,28.14,281.9891351117095,53.69,38.8795792459885
132020101,1358.43062940721,488.8700947417068,35.99,156.37860057535352,31.99,24.2354050803805
132020201,1211.61150462862,448.55105976629113,37.02,202.2173993881695,45.08,32.6172573083995
132020202,1070.78399105117,444.698450260752,41.53,169.7744032867962,38.18,36.5314043802322
132020203,1371.70680966507,609.200637185328,44.41,214.09300052626298,35.14,37.909741483469
132020204,1286.99666704377,349.0407518236468,27.12,188.4387694528352,53.99,26.6403845586842
132020205,954.496485264452,309.47097941016756,32.42,152.4882261983145,49.27,33.4849564603205
132020301,1343.62920009151,707.087563032354,52.63,378.13687931307004,53.48,132.776115260413
132020302,1881.48286028406,896.0418631873131,47.62,420.70907148175866,46.95,99.3143557393117
132020303,1794.45741067748,636.083924586846,35.45,321.1363463792501,50.49,61.8098131454061
132020401,3422.05897854525,964.0252924389331,28.17,313.7161684019337,32.54,42.4410650282557
132020402,1547.36965068507,448.80739885039543,29.0,155.3252543515574,34.61,43.2174895502714
132020403,1893.24037841318,511.17888437298427,27.0,147.39289584942048,28.83,33.3193972968935
132020404,1279.46765076242,444.08614285640795,34.71,194.4493429624432,43.79,69.3262567932852
132030101,2022.64992638774,715.9822146831609,35.4,275.9546434532179,38.54,96.8035138181899
132030102,2435.92679292695,679.759195690469,27.91,312.5981570334808,45.99,72.8422672517788
132030103,2375.77577666228,656.3675232348961,27.63,257.7555690600222,39.27,40.8734875734542
132030104,3100.49019101102,1108.914378915382,35.77,553.9344003284054,49.95,80.8032440019005
132030105,2479.64481959962,702.788268852695,28.34,258.8042941284736,36.83,55.5073408625066
132030201,171.27792148539,19.377334152301593,11.31,5.8628840271514,30.26,0.0
132030202,3449.21639373044,794.441027128194,23.03,292.7423617418792,36.85,61.6989717363832
132030203,2363.01305623031,805.557996126287,34.09,220.5401804830322,27.38,56.0307210474722
132030204,2866.83667545035,946.111740497011,33.0,507.83617011101796,53.68,119.645431636893
132030205,2509.58104942067,652.656997580685,26.01,235.4854455597304,36.08,57.1012782070614
132030301,2691.8403163868,756.733259885173,28.11,300.3972791192354,39.7,73.9091523257274
132030302,2543.52939285877,837.8342441129571,32.94,314.5691855746946,37.55,69.8698799652726
132030303,2530.3532280307,846.38940756586,33.45,181.9454315345211,21.5,33.7915066421471
132030304,2674.18112484663,568.8634535517062,21.27,143.8740563872237,25.29,22.5907187061187
132030305,892.139887554272,256.2215652571019,28.72,30.3120303332459,11.83,11.575799229653
132030306,709.379907135166,185.0611058926346,26.09,41.94088036773574,22.66,4.65777522000734
132030401,2346.13159849599,759.875652339421,32.39,280.3839320277071,36.9,92.6061091173381
132030402,3382.80749186018,1044.769430520017,30.88,424.101588171346,40.59,108.666171560144
132030403,2044.75978144571,588.8609899673088,28.8,263.34400306126,44.72,60.79294791246
132040101,2084.62043731101,777.029757280508,37.27,297.9564813000737,38.35,62.3789618177107
132040102,2022.03968966408,788.210304327545,38.98,358.1271221712668,45.44,96.0984702786838
132040103,2115.72049485408,950.363889947055,44.92,570.774525034616,60.06,149.108384716836
132040104,2209.28056709515,700.9929139041151,31.73,283.0342752212585,40.38,80.5839778592015
132040105,2097.11497584718,749.72849258889,35.75,330.1214977130277,44.03,54.8006093068407
132040106,2337.82896178543,793.079020126188,33.92,362.709715007784,45.73,145.075038381999
132040201,1872.55115457286,610.8643305454605,32.62,272.5845109067006,44.62,48.3080648714016
132040202,2330.10768264035,731.3003306914918,31.38,260.0409296887056,35.56,43.0890230032646
132040203,2002.08967978677,780.744013850571,39.0,391.9962149112992,50.21,85.1791348525782
