code_iris,nom_iris,nom_com,heat_score
674822503,Plaine des Bouchers Centre,Strasbourg,Medium
674822601,Canardière 1,Strasbourg,Medium
674822602,Canardière 2,Strasbourg,Medium
674822702,Canardière 3,Strasbourg,Medium
674822703,Canardière 4,Strasbourg,Medium
674822801,Polygone Est,Strasbourg,Low
674822802,Polygone Sud,Strasbourg,Medium
674822804,Polygone Ouest,Strasbourg,Low
674822901,Neuhof Nord,Strasbourg,Medium
674822902,Neuhof Sud,Strasbourg,Medium
674823001,Stockfeld Est,Strasbourg,Low
674823002,Stockfeld Ouest,Strasbourg,Low
674823003,Stockfeld Nord,Strasbourg,Medium
