IRIS,total_population,elderly_55_plus,pct_elderly_55,elderly_55_plus_alone,pct_elderly_55_alone
751062201,1538.96027984246,691.222050622083,44.91,170.11382457052449,24.61
751062202,1241.41723027903,623.1574499387771,50.2,180.57570529557648,28.98
751062203,1972.22662040311,679.32410764201,34.44,240.2400772112149,35.36
751062204,2319.82385113174,805.673333569595,34.73,296.00417301389496,36.74
751062205,0.0,0.0,,0.0,
751062301,1176.38502090893,462.71023701363004,39.33,224.288532419132,48.47
751062302,1465.21001860236,487.5528056114691,33.28,150.3676936135425,30.84
751062303,1764.24818640505,791.789380117479,44.88,226.2346965816169,28.57
751062304,1396.04426233183,606.05413509601,43.41,186.2417084464269,30.73
751062305,2524.02650412212,862.1171687238209,34.16,244.599160993291,28.37
751062306,2143.39771461234,892.6890996152449,41.65,302.337511136663,33.87
751062307,1708.03184092628,589.441602148662,34.51,194.35744931111822,32.97
751062308,2629.15142939332,1114.953825107286,42.41,417.65314791259595,37.46
751062309,2144.34398806006,883.640463891812,41.21,437.515013294092,49.51
751062310,1683.91425725032,707.052061155059,41.99,284.33681756288604,40.21
751062311,1436.04262277975,761.0798396416681,53.0,279.13649074680995,36.68
751062401,1740.42538298848,673.5150847154599,38.7,241.7912395272474,35.9
751062402,2466.74125887261,1040.926070375781,42.2,432.04136668470704,41.51
751062499,0.0,0.0,,0.0,
751072501,1517.02781254021,669.332289980169,44.12,218.4262815090164,32.63
751072502,1246.18891533084,515.107251424745,41.33,162.7412248207599,31.59
751072503,1563.82194199075,754.368303384429,48.24,242.52226266039492,32.15
751072504,1081.48385413403,499.2920969068394,46.17,134.0634509577604,26.85
751072505,1420.81954196436,636.459697940864,44.8,265.6959616330694,41.75
751072506,2124.35072993066,967.144449419437,45.53,378.824933628375,39.17
751072507,0.0,0.0,,0.0,
751072508,4.00001714494528,1.00000428623632,25.0,0.0,0.0
751072599,0.0,0.0,,0.0,
751072601,1691.59433355028,683.549231027233,40.41,254.58535858450438,37.24
751072602,1075.07580926609,526.9767574710335,49.02,146.27153324557872,27.76
751072603,673.584411288652,336.171190043881,49.91,122.3530315802606,36.4
751072604,1001.62816767467,448.3355136080576,44.76,129.6506374445809,28.92
751072605,0.0,0.0,,0.0,
751072606,226.195528185613,125.0089533240368,55.27,2.00000857247264,1.6
751072699,0.0,0.0,,0.0,
751072701,2310.12099934831,883.020994282478,38.22,287.5809822066599,32.57
751072702,1545.93236899558,601.34759574501,38.9,182.45207366917361,30.34
751072703,1421.14803002588,649.501838474519,45.7,190.63570444830802,29.35
751072704,1496.32072428957,592.842227392649,39.62,205.46079035591458,34.66
751072705,1598.86341614499,777.6829771546011,48.64,233.0391789683602,29.97
751072706,1507.18307071397,540.140377093469,35.84,170.2734336386668,31.52
751072707,117.00050148965,9.00003857612688,7.69,0.0,0.0
751072801,1944.2894012863,675.8148657939549,34.76,277.5533405836251,41.07
751072802,1321.46226012553,425.946670297398,32.23,207.588021211713,48.74
751072803,1376.23719078246,445.6379653484916,32.38,192.15532536750737,43.12
751072804,2577.58537378945,836.119154929384,32.44,342.463892197953,40.96
751072805,2614.84417727696,623.168364956826,23.83,282.8616518092832,45.39
751072806,1502.46213279817,705.454801583197,46.95,183.4147927348829,26.0
751072807,1438.61871719559,717.142013423814,49.85,234.77843419221227,32.74
751072808,1288.28686154538,580.676842090527,45.07,188.5907644971632,32.48
751072809,1267.71904357073,557.304315980737,43.96,219.4715974679018,39.38
751072810,2501.33889272227,871.643119509134,34.85,337.57666992713854,38.73
751072811,1420.49658932472,621.705355022124,43.77,182.10126405234772,29.29
751072812,0.0,0.0,,0.0,
751072899,0.0,0.0,,0.0,
751082901,930.447761526315,332.96651737945115,35.79,121.83264142951612,36.59
751082902,470.325821723854,173.7810413217435,36.95,46.821032582792796,26.94
751082903,373.202658900498,120.75699100857891,32.36,55.8156474821415,46.22
751082904,205.613568117561,59.940190676390095,29.15,27.508234159601578,45.89
751082905,298.614550639847,157.86780003501798,52.87,41.0969945938457,26.03
751082906,10.637292935742,5.31864646787098,50.0,0.0,0.0
751082907,0.0,0.0,,0.0,
751082999,0.0,0.0,,0.0,
751083001,1836.97702154195,676.887676514584,36.85,178.9646059804199,26.44
751083002,3092.81119533117,1098.034550300284,35.5,368.5338075424633,33.56
751083003,585.254662656057,204.7951710458928,34.99,80.50834258591959,39.31
751083004,1336.56903694157,425.3746730806226,31.83,143.893208326196,33.83
751083005,1208.98834675352,375.4751762918127,31.06,123.3236500017913,32.84
751083006,296.611007845963,66.2235315961526,22.33,28.43537056271149,42.94
751083101,120.491866807612,46.5370070574338,38.62,25.3661151963471,54.51
751083102,207.767375282012,97.33881869397399,46.85,32.8030268194235,33.7
751083103,721.624864063326,194.877877246478,27.01,50.057984572121384,25.69
751083104,420.315635348596,159.43494261520718,37.93,61.90597839337836,38.83
751083105,1215.97653862906,360.922305221989,29.68,144.2470208407633,39.97
751083106,1127.89205402779,310.71488115760974,27.55,94.0430691055242,30.27
751083107,301.900874274425,139.9121205949878,46.34,70.0431477042998,50.06
751083108,318.724909118753,98.85944892136948,31.02,18.5367009207267,18.75
751083201,1558.9821384438,522.782405252341,33.53,182.3266659478361,34.88
751083202,1439.13274256107,552.9441184344807,38.42,132.8591558375412,24.03
751083203,1282.37782441043,525.808603402484,41.0,161.2514462445484,30.67
751083204,2138.87462685309,648.5881283115118,30.32,132.5093496452,20.43
751083205,2646.24402956674,805.022912077319,30.42,236.38515055756278,29.36
751083206,2396.10213715005,735.761902803274,30.71,231.5351334345992,31.47
751083207,1857.2007230396,609.6692545112862,32.83,225.7760346158867,37.03
751083208,618.839105022866,199.40694675364279,32.22,40.7111394636957,20.42
751083209,698.880504184754,244.8079797566464,35.03,75.9189261523896,31.01
751083210,788.75223280414,257.475865675455,32.64,60.37864268039486,23.45
751093301,1369.89136817362,286.2492468437673,20.9,108.92019853105481,38.05
751093302,1523.02330789078,464.3760605634529,30.49,153.6579390999677,33.09
751093303,1688.24917802246,588.6787256194519,34.87,193.50822078092978,32.87
751093304,2041.86945323613,685.527217250178,33.57,185.7590482856064,27.1
751093305,1920.5752440822,466.989689866593,24.32,127.43282153984241,27.29
751093306,1926.86135768316,616.1607098252371,31.98,216.8285232103583,35.19
751093307,2667.15428763766,721.523267042679,27.05,271.7395363758687,37.66
751093308,1683.3280554125,465.21951724813795,27.64,217.5063456412286,46.75
751093309,1653.13663528263,559.0480810010711,33.82,208.35658932845593,37.27
751093310,1427.1370873196,556.5739027627021,39.0,182.983358170156,32.88
751093311,416.18226445193,75.82567079979393,18.22,35.95976799433752,47.42
751093401,118.821261297468,15.9444195664908,13.42,7.47671030495326,46.89
751093402,0.0,0.0,,0.0,
751093403,1087.01231982977,298.9932986900667,27.51,100.8898102297147,33.74
751093404,106.233619743142,18.2224889745021,17.15,0.0,0.0
751093405,349.884095858758,42.58726738193237,12.17,9.79913496571989,23.01
751093406,56.2931993423827,16.23785531343616,28.85,4.32911095568087,26.66
751093407,1021.80268406172,205.9148755952011,20.15,103.8944627165898,50.46
751093408,890.990037526605,191.45050748135708,21.49,39.89593166949799,20.84
751093409,588.783109306078,127.03949607553278,21.58,36.43797657554949,28.68
751093501,2518.38705565956,665.4848785844581,26.43,258.5146035382486,38.85
751093502,1767.08379069812,459.42925752390806,26.0,178.910755685317,38.94
751093503,3417.64746145685,845.729723679111,24.75,292.07692802764063,34.54
751093504,1561.9910123967,432.3035383107794,27.68,138.410383930998,32.02
751093601,2084.70494065723,558.3858843827388,26.78,175.2915572494916,31.39
751093602,2639.03466294598,611.636772919616,23.18,241.9918868412983,39.56
751093603,1282.79390820929,337.8760873399625,26.34,162.1950848793732,48.0
751093604,1600.2108795191,442.6529398884438,27.66,197.8427979851978,44.69
751093605,1915.34348143791,498.93523726787043,26.05,184.1702213832814,36.91
751093606,1799.40936131664,403.54437560720356,22.43,148.5094381209395,36.8
751093607,1910.03636040648,509.6709864961176,26.68,179.85264807394532,35.29
751093608,2151.98673306654,664.5074430011801,30.88,242.46000400267332,36.49
751093609,1708.95074300205,574.6490435809203,33.63,282.8347901479106,49.22
751093610,2138.83058485369,470.6677276875497,22.01,169.3640220016463,35.98
751103701,1911.67938327024,509.06291212147596,26.63,183.1914475986867,35.99
751103702,1629.30904271905,344.27440377427934,21.13,119.3452221644105,34.67
751103703,1997.67006463906,505.67839621897883,25.31,149.255198755529,29.52
751103704,2015.64288260826,511.68615154998247,25.39,201.2665159632275,39.33
751103705,1887.79287734771,595.979986052572,31.57,237.2611559137889,39.81
751103706,1995.17571253848,639.53153752206,32.05,202.73676924089122,31.7
751103707,2239.29561059595,579.466966612698,25.88,174.8842675597345,30.18
751103708,1441.23999226761,431.3947669331177,29.93,173.04712423973268,40.11
751103709,1536.49508476497,333.2105454743562,21.69,192.837015566,57.87
751103710,0.0,0.0,,0.0,
751103711,0.0,0.0,,0.0,
751103712,604.535794741644,175.2829740160084,28.99,56.38152643489189,32.17
751103801,1654.01127345362,422.8017582425056,25.56,116.6144798598985,27.58
751103802,1315.38271104846,345.7072968777206,26.28,159.45926120231212,46.13
751103803,2294.86906496882,608.2359313564197,26.5,250.7273849069864,41.22
751103804,2420.04429706699,594.6192076470516,24.57,285.2964368710874,47.98
751103805,2010.94580471988,441.20713299617876,21.94,151.8300588272995,34.41
751103806,3020.57215448248,820.6209723540007,27.17,299.2836109617898,36.47
751103901,1584.9787845227,414.89311524982816,26.18,194.8527626946636,46.96
751103902,1965.3564405917,590.171274181442,30.03,219.0668661827634,37.12
751103903,1473.62518214771,418.03101232220865,28.37,153.0224104163072,36.61
751103904,2029.53222385265,690.2468320992091,34.01,206.98940332333308,29.99
751103905,1654.65697459692,458.18812316391086,27.69,157.910138709428,34.46
751103906,1990.00976033323,388.6958223248474,19.53,148.2906136367261,38.15
751103907,1677.6517937579,506.4978520979497,30.19,159.8133447521297,31.55
751103908,2275.17672600822,588.5680816103132,25.87,279.5783333972543,47.5
751103909,1728.94795590004,388.2179173158509,22.45,200.3863410652042,51.62
751103910,2010.4885238293,615.669958191738,30.62,267.8294750359735,43.5
751103988,0.0,0.0,,0.0,
751104001,2066.7089193095,524.8431175726564,25.4,181.3023108220025,34.54
751104002,2711.05291106808,692.9057344351254,25.56,214.9384391936951,31.02
751104003,2340.98893945047,567.3748936885924,24.24,278.0048095464747,49.0
751104004,1258.38378595997,227.70477171136673,18.1,107.406732855988,47.17
751104005,1302.48270648626,236.7581068605955,18.18,103.974909972927,43.92
751104006,2135.75577459142,510.0373378293297,23.88,253.0144895263691,49.61
751104007,2587.12722289597,909.8709239046559,35.17,332.1937622419237,36.51
