IRIS,total_population,elderly_55_plus,pct_elderly_55,elderly_55_plus_alone,pct_elderly_55_alone,elderly_80_plus_alone
315550101,2893.25592677618,450.4979020798397,15.57,207.0411039846187,45.96,49.1796566845877
315550102,2866.58880793603,608.4717743621286,21.23,266.7995710183403,43.85,61.4529638914813
315550201,2020.67843489713,409.6332297445053,20.27,81.8677739096151,19.99,26.7738370404036
315550202,3685.78622750906,591.8119201252968,16.06,303.06384698297757,51.21,38.6678788755366
315550203,2424.23109945125,258.0764781308132,10.65,89.4056694915847,34.64,21.4922359048455
315550301,2069.9627236143,715.434916961242,34.56,403.37142407769295,56.38,129.898807518351
315550302,1720.69468768701,345.1758373485969,20.06,128.3454542148754,37.18,36.5670179804791
315550401,1692.73669781495,434.037481348833,25.64,163.7443904771026,37.73,45.4503137392856
315550402,2290.24804551889,723.9334350282529,31.61,237.4671914399888,32.8,66.3436517644538
315550501,2467.51056440829,571.951255964954,23.18,218.1807060737595,38.15,69.4737484371345
315550502,3089.48771243383,751.669586965655,24.33,327.355748477578,43.55,131.671558786895
315550601,2756.50985284131,602.396118753951,21.85,250.84082805656573,41.64,52.1033995277197
315550602,1672.67623025353,247.25686805018972,14.78,121.6498803360995,49.2,15.1350817239075
315550701,3254.80612102334,622.1252080811701,19.11,253.7986830997834,40.8,53.9089777743444
315550702,3407.41879857674,559.2252267824236,16.41,205.23024519826382,36.7,24.3004749753808
315550801,2815.71933785214,510.90159537945976,18.14,266.8026765833237,52.22,56.5782751896187
315550802,4918.35778596929,978.4230793330589,19.89,364.8537203650003,37.29,44.7422654114163
315550901,4137.57954761558,1064.335214437865,25.72,441.3786898936813,41.47,94.8807207163473
315550902,2910.74568228615,648.0625332838766,22.26,266.095924703729,41.06,27.628856565703
315551001,3771.82166880761,909.7780544577381,24.12,451.1877299236756,49.59,79.3181421551886
315551002,3237.63091804013,853.734609712579,26.37,464.3139288846221,54.39,83.8803425538121
315551101,2891.40790143107,631.7150239850009,21.85,330.6259460700295,52.34,63.4354154967155
315551102,2568.60561207568,480.38270734598063,18.7,233.6939018632026,48.65,43.9403818741656
315551103,2793.565446598,547.1372630881519,19.59,287.6876533222236,52.58,61.8789753226456
315551201,3394.71331378943,1078.721150724751,31.78,506.181012087368,46.92,165.968570851945
315551202,2021.91402844885,521.259868846182,25.78,206.0393004108887,39.53,41.3930806178657
315551203,2891.75702212789,947.491071373435,32.77,363.22578979899,38.34,101.249435538637
315551301,3360.46035430304,620.540333963705,18.47,313.6512853680945,50.54,61.2658347417555
315551302,2610.20194802812,384.0883580261084,14.71,168.07010327054633,43.76,23.8634424182883
315551303,4120.31918146693,739.573215386529,17.95,302.4748573415859,40.9,73.7831963256639
315551401,1113.66317838843,70.07281339425151,6.29,11.555629779567,16.49,1.5407506372756
315551501,2447.93821827943,675.5518039143881,27.6,249.9182334017807,36.99,50.9922398776647
315551502,3365.55038814475,882.8215200480399,26.23,348.7262853185091,39.5,86.3193763988811
315551601,2681.35644261892,961.728006583113,35.87,444.48585952805195,46.22,114.104375428167
315551602,4057.67169676438,1121.978734084464,27.65,623.533457006414,55.57,165.953369446222
315551603,2909.75291291576,753.018301618045,25.88,276.2877191855202,36.69,68.0140353450322
315551701,3017.33172540815,1040.3473173366929,34.48,339.73967017892653,32.66,73.2056826582295
315551702,3097.59289652895,925.3512690317191,29.87,365.4505411090307,39.49,96.9370948286377
315551801,5196.56713220338,1139.4829790790359,21.93,497.12321730428505,43.63,154.409133416549
315551802,3142.49285954323,740.4401856866059,23.56,280.7974439379497,37.92,55.7705423295387
315551803,2394.67820527727,670.806801245053,28.01,227.26620841439268,33.88,75.9896013992197
315551804,2937.70513994167,798.949145423341,27.2,327.926934915183,41.04,125.584619216971
315551805,2070.39050058877,627.559306289759,30.31,253.7847669529265,40.44,66.4132478329525
315551806,2355.05649337308,753.016042687893,31.97,311.3928377189091,41.35,56.8156237839891
315551807,4539.85746546128,1429.418923325722,31.49,704.0064651799651,49.25,157.875530788532
315551901,4524.38552445358,1446.819334028281,31.98,706.974990694577,48.86,264.263187656778
315551902,3283.64340063024,924.1284063803511,28.14,330.3612599560091,35.75,71.2198319523121
315552001,1986.74638961161,398.40557371752794,20.05,150.50818484490492,37.78,35.0267800035829
315552002,3143.7663221282,909.132682114403,28.92,386.04878507482897,42.46,120.745948136356
315552003,2076.2428156884,453.3233917109093,21.83,196.2566423422377,43.29,50.4977171475767
315552004,2265.51833255412,663.9769014382271,29.31,348.2934160156879,52.46,73.1179339810249
315552005,1648.77512280201,479.5872018654174,29.09,197.0442666740852,41.09,56.4226730929752
315552101,4371.56488500087,933.512615898856,21.35,430.340003012798,46.1,67.933392490737
315552102,2546.71827435011,734.130475913021,28.83,279.3193703364256,38.05,78.0421721759646
315552103,2606.71130255773,870.084754613678,33.38,364.36920263221725,41.88,87.3716450109113
315552104,1796.07398692021,702.734267258243,39.13,248.0009473493065,35.29,50.3088872714275
315552201,2224.96969061184,844.2496650800299,37.94,290.9834290560243,34.47,81.1897398104853
315552202,3063.0605509234,1013.477052160999,33.09,319.536882358657,31.53,105.300192170787
315552203,1741.17617623506,834.798214360307,47.94,267.868622553007,32.09,113.133524878775
315552204,3359.36810773067,920.744115136645,27.41,331.23726126720544,35.97,72.4943080890794
315552301,2518.87126752729,546.7370085190751,21.71,234.9098512552838,42.97,64.0518781324908
315552302,2017.58659419097,631.862664216652,31.32,222.3933611413984,35.2,41.6963325129214
315552303,2252.4009722758,733.449405929701,32.56,211.56255111794928,28.84,68.2564950863363
315552304,1902.83003820467,717.555303798718,37.71,333.1391828598935,46.43,85.0476507969195
315552401,2104.24634910559,504.9073040682959,23.99,298.5911505050417,59.14,54.8057452004267
315552402,1755.27880850403,593.446736781264,33.81,195.59863771257142,32.96,43.0852460731844
315552403,1795.58409867807,601.209473797904,33.48,188.5662902529954,31.36,57.3295213025294
315552404,1771.83264463215,541.513339281716,30.56,241.828538053589,44.66,69.374496701347
315552405,1534.85413737127,541.550404884239,35.28,211.14076389630628,38.99,36.4656695874673
315552501,4575.25677765733,891.681422013129,19.49,345.8575419972896,38.79,67.7958318543546
315552502,1779.62318476711,410.7840408609498,23.08,163.9961062495385,39.92,41.1500444171185
315552601,3326.33346587538,572.992688220641,17.23,272.1285895679851,47.49,66.0466479257511
315552701,2830.47002649329,910.347046811818,32.16,330.9449865615429,36.35,75.4031754566369
315552702,1966.02038349421,586.204349183525,29.82,281.8773420642787,48.09,66.9108317758337
315552801,2020.86391230857,750.408520864605,37.13,280.332320454077,37.36,103.884015086003
315552802,1813.92895002253,559.4494628682655,30.84,185.6172728136033,33.18,36.9673311669583
315552803,2040.19660723643,841.361012692484,41.24,339.102722404737,40.3,115.568476712717
315552901,1784.93066214543,765.879013367625,42.91,192.45849026622562,25.13,66.1688811087326
315552902,1607.32805675985,446.49740579891625,27.78,222.7281207783727,49.88,51.4153690977407
315552903,1346.30863549368,333.1297013445859,24.74,77.407462792105,23.24,11.9783042583026
315553001,1435.55645408505,509.17286049422296,35.47,170.2358777722993,33.43,58.7766553136893
315553002,1805.39322983316,551.8547833202539,30.57,215.84211996793832,39.11,25.4430241501393
315553101,2489.49505579419,902.232149696314,36.24,296.1811150904108,32.83,99.9941288837398
315553201,1107.32778735543,328.7627411910241,29.69,144.7591260410423,44.03,27.1284843641323
315553202,1484.65911680199,408.41799135748215,27.51,144.8633579001744,35.47,7.39508761110742
315553203,1547.12614124155,446.1646286998006,28.84,157.3436111804131,35.27,45.4927372587091
315553301,5134.00832486963,790.512193000789,15.4,325.8024913117425,41.21,58.9881902287345
315553401,1662.28249343625,466.17364544223926,28.04,160.4558171061453,34.42,37.5162017386743
315553402,2406.76282106965,759.539547029605,31.56,306.4698398925907,40.35,79.3854943274147
315553501,2566.73928370251,747.462864279167,29.12,268.73735599815484,35.95,70.2527164793768
315553502,1785.84218446491,330.798116352524,18.52,145.6917215137205,44.04,39.3568155586945
315553503,2801.08377303877,387.5188447768653,13.83,171.61129928189263,44.28,29.5360778746696
315553504,7688.41656784472,1263.375051214562,16.43,631.9020209224591,50.02,105.164116015046
315553601,1241.2147407394,337.712030384083,27.21,51.8016884376857,15.34,11.110134510921
315553701,1243.08959837811,293.05534398880127,23.57,72.3645777192273,24.69,21.0383477170722
315553702,2889.15872550736,930.495463340777,32.21,283.1299243911451,30.43,68.2366337035021
315553703,5907.39136996934,1853.4104791796349,31.37,879.2784081434161,47.44,321.429125931961
315553802,9868.87773567418,1269.739206559914,12.87,555.272813918901,43.73,117.484559877693
315553803,3699.97426480488,871.230993364243,23.55,246.06463789322478,28.24,37.4600869038228
315553901,5359.45497766094,916.3933846468569,17.1,294.3017204359584,32.12,43.9478909746244
315554001,4202.35407256856,1155.120131547685,27.49,511.1746027366178,44.25,82.6147981700568
315554003,4956.98873623944,1053.111921575815,21.24,397.09840235986854,37.71,52.2281813573375
315554004,5659.56185292541,1229.959140389472,21.73,505.21457811570303,41.08,150.15700134603
315554005,3379.02672605035,602.0950339423201,17.82,248.6067429767209,41.29,24.1805387451099
315554006,1723.80541999838,563.0087788746359,32.66,163.1213776004114,28.97,24.8896445055324
315554007,7901.34738765862,1588.91029688417,20.11,620.3657916554,39.04,125.305445850673
315554101,1007.83355177038,250.9285643414294,24.9,43.53412805392359,17.35,5.05506761961749
315554201,1682.78064010997,586.302049153476,34.84,191.3432089841919,32.64,54.2354241035919
315554202,3208.59324049293,890.642344913488,27.76,413.96563261429,46.48,120.813159725954
315554203,3247.39288544631,1135.790303661899,34.98,470.19101920793105,41.4,121.175977806325
315554301,2144.48345066278,639.1573679646569,29.8,224.6666994249041,35.15,97.4790654820861
315554302,2132.66509338319,719.994482139287,33.76,296.006749127384,41.11,118.920601298423
315554303,2634.96001180551,701.3959944575184,26.62,309.34569767614556,44.1,38.4041024361916
315554401,1513.2639657249,548.7486954322167,36.26,198.7231923762381,36.21,54.1151922505721
315554402,1803.42052443832,561.508707435938,31.14,202.2251544419838,36.01,35.6586132653018
315554501,2108.36559880938,708.189914497841,33.59,323.4428183403861,45.67,73.6418685862531
315554502,3538.50654144186,795.164168189262,22.47,308.3260056358095,38.78,29.4830636865225
315554503,3072.24587805861,1007.17549441251,32.78,354.9913218331485,35.25,69.6311502630085
315554601,2517.34493890126,1218.455839723489,48.4,409.908510012826,33.64,158.711385645975
315554602,2480.31014212221,1004.1731762828,40.49,367.4463299076258,36.59,33.8976920346648
315554603,1724.70988666632,682.641093855615,39.58,272.8448068027251,39.97,46.8954658851081
