IRIS,total_population,elderly_55_plus,pct_elderly_55,elderly_55_plus_alone,pct_elderly_55_alone,elderly_80_plus_alone
593500101,0.0,0.0,,0.0,,0.0
593500104,2528.1932040367,405.2389529056682,16.03,153.6382539854443,37.91,37.4680238006883
593500105,2258.17606942352,225.2116802229908,9.97,74.5661506127916,33.11,30.9530996628637
593500106,1553.74168368362,179.5055014839267,11.55,71.58700587339689,39.88,8.81491228860369
593500107,98.7696499773861,21.07521109651764,21.34,14.0501407310118,66.67,0.0
593500108,174.631036915641,21.5763356457728,12.36,11.2986048725061,52.37,0.0
593500109,217.291031885874,29.17344733919316,13.43,15.365563181642,52.67,0.0
593500110,499.106950928841,54.4279044465311,10.91,29.7419753834636,54.64,11.0563463318069
593500111,2343.00791518271,372.308093724915,15.89,208.6541717141769,56.04,36.9701919864679
593500112,2193.65661080349,407.630256065742,18.58,161.852783978775,39.71,46.568700013283
593500113,914.26856744356,96.4046554904555,10.54,43.0157150521312,44.62,3.2833207845418
593500114,0.0,0.0,,0.0,,0.0
593500115,2280.32180928604,431.35746902698014,18.92,144.81477845727449,33.57,19.8568117240235
593500116,2780.64812808017,618.744926825963,22.25,259.4649330164337,41.93,77.1940826152437
593500117,1456.55432735403,410.4931756073433,28.18,192.1459147718289,46.81,46.5901591207139
593500118,3694.89485401884,496.3184444455558,13.43,246.7855636819594,49.72,34.5583503049374
593500119,4128.77760735285,571.4468955243633,13.84,257.8824627931815,45.13,53.2685285146305
593500201,2804.58870158635,386.58911959342527,13.78,204.8404371268825,52.99,15.6228980456455
593500202,1693.7432099496,383.30657718713496,22.63,122.16251332800479,31.87,39.0144611216763
593500203,2371.10333506384,341.2672587198943,14.39,160.8534934891011,47.13,24.6084925057211
593500204,3473.08278213519,541.6114669245297,15.59,251.21944469944722,46.38,26.2807366869982
593500205,3030.34653621521,683.527190862401,22.56,242.29722144448178,35.45,46.4722443720298
593500206,1904.97937302833,406.682897185793,21.35,175.1375718672795,43.06,62.9742257042945
593500207,1906.22412803323,629.27622349634,33.01,178.2586443729095,28.33,11.2869180839195
593500302,226.787783383174,81.8053929836902,36.07,7.02507036550588,8.59,3.51253518275294
593500303,2559.77367655191,195.04207763029808,7.62,96.442950249568,49.45,8.5155389679486
593500304,1950.79866977895,410.3399702690138,21.03,214.12097569118768,52.18,62.4123699551077
593500305,2938.83289446628,328.7075138831827,11.18,161.092756912841,49.01,61.6507469231537
593500306,2213.62527708645,334.1694342461659,15.1,142.1883114949584,42.55,23.7563384621554
593500307,2301.09170311154,473.5257128503614,20.58,207.2057125837427,43.76,51.0119465732027
593500308,2748.21104918337,510.47529087725883,18.57,221.5236312966087,43.4,54.9399263074567
593500309,1924.56960695445,344.8710947838963,17.92,106.7369821765111,30.95,21.880594796017
593500310,121.108152846457,17.2343362658185,14.23,10.3646327267179,60.14,0.0
593500401,1952.84340229077,276.9464905338297,14.18,113.89700986375371,41.13,18.6869661283318
593500402,1890.12617756749,388.301157529119,20.54,147.0729539106178,37.88,13.0093295856538
593500403,1858.59785103005,423.3454711197864,22.78,190.73437118342892,45.05,27.5611445231409
593500404,3307.31004424691,399.218402900714,12.07,160.903903319038,40.3,34.946886880868
593500405,2415.84673576074,421.341799562647,17.44,234.5631976075941,55.67,74.9382052268021
593500406,3649.30791101974,521.702544499997,14.3,179.4684418070157,34.4,43.6753574496777
593500407,3252.71128016629,354.1902172304225,10.89,152.8839796870241,43.16,20.7528414720251
593500408,2509.90920545103,318.6186542701546,12.69,172.98751654925852,54.29,19.1206982462985
593500409,2575.36143539875,600.2585615022931,23.31,417.7370572452075,69.59,68.2593915867655
593500410,1942.00790059012,370.639508891466,19.09,131.0405824878438,35.36,13.0511077112998
593500501,30.1351864944004,5.02253108240007,16.67,0.0,0.0,0.0
593500502,2007.44789356044,330.6541695247999,16.47,128.6958147138228,38.92,36.1993251277236
593500503,2341.81093756661,568.508789746412,24.28,149.41742955565184,26.28,8.22613613598983
593500504,3871.58794071734,659.7127034625139,17.04,300.34703982207753,45.53,52.3990235959075
593500506,4649.9287315298,676.5979793251054,14.55,287.6775283183715,42.52,31.5947623069005
593500507,1662.32812372094,243.1061266460102,14.62,111.539348872151,45.88,14.379244575543
593500508,2708.01517207026,585.4851720134527,21.62,229.6243319387294,39.22,26.0195313025014
593500601,2031.52060448264,551.751014339077,27.16,196.72668879805332,35.65,25.2438270140623
593500602,1207.63123628735,270.46189708925033,22.4,109.5004751625523,40.49,29.3136251672583
593500603,1060.69458284993,282.0316289697859,26.59,139.6367623357285,49.51,20.4785791825685
593500604,1221.93018893145,431.02362420136217,35.27,130.9952053295797,30.39,37.7582339072655
593500701,1075.80557642069,53.35902211234481,4.96,15.208739285020311,28.5,1.02087409923941
593500702,1290.61118963761,336.7677640639693,26.09,136.1845083964256,40.44,25.7598048064446
593500703,1975.71840218875,442.8050703721625,22.41,222.9313719025856,50.35,55.5150184827406
593500704,1625.80878876504,335.3146633690213,20.62,86.6373756478998,25.84,0.0
593500705,1521.25088238114,324.6511153426585,21.34,126.91485049639675,39.09,9.39486158684075
593500706,1258.52661174546,281.8153575346875,22.39,96.62106272214069,34.29,12.4832833902602
593500707,1459.01432888991,474.9064336719447,32.55,174.2441612821542,36.69,32.1568235325312
593500709,662.538626289811,84.70395288080316,12.78,32.59990174022185,38.49,7.23997494057965
593500710,3705.91152564242,847.676002665673,22.87,332.61269871565423,39.24,60.2797702816292
593500711,2288.85567476254,586.7192264496998,25.63,194.1978784631475,33.1,34.7048082900595
593500801,1246.22205608762,379.7589482636862,30.47,163.9448571399325,43.17,12.3393652469575
