IRIS,total_population,elderly_55_plus,pct_elderly_55,elderly_55_plus_alone,pct_elderly_55_alone,elderly_80_plus_alone
674820101,2221.99078438368,507.44588255486303,22.84,176.5862641591016,34.8,30.5090860032586
674820102,3138.35642987269,524.6021187469897,16.72,259.21211509134787,49.41,61.4882915026719
674820201,1973.37864263302,296.31447835513893,15.02,145.351311139996,49.05,24.080783713297
674820202,2182.63063158302,302.4067860251667,13.86,152.6675229951307,50.48,39.8775170009247
674820203,2167.10866135899,458.733178660641,21.17,233.3524590850553,50.87,40.6003413706583
674820204,2314.34059090568,690.1171672909691,29.82,261.63996610085803,37.91,97.67478769302
674820301,2519.54448299698,567.0486835326841,22.51,239.7585021661467,42.28,27.3295762877797
674820302,2521.78998006157,310.3430460367065,12.31,163.38447475424778,52.65,20.6746987108058
674820303,1748.06202079561,230.673408341594,13.2,105.87931182779309,45.9,37.8475968527464
674820304,2113.90994838705,329.41195312418677,15.58,164.8472208250337,50.04,38.9478845796587
674820305,2473.8498256432,414.272686864704,16.75,202.2849008451737,48.83,53.2888609453557
674820401,3202.30414186414,671.7306918206145,20.98,208.2297566378105,31.0,45.5834358388435
674820402,2593.38877584739,544.302728358202,20.99,180.0367375189738,33.08,26.0142446751068
674820501,850.387518254235,66.43623883482289,7.81,16.45990110890529,24.78,1.06285821857309
674820502,2373.02971819041,658.464806573502,27.75,199.025059698029,30.23,60.363804088877
674820503,1948.90925270326,631.6901813258592,32.41,215.5895658163952,34.13,27.8510465707072
674820601,2600.53809326265,880.705399636458,33.87,237.3339179877094,26.95,50.3530085522204
674820602,2728.75479017468,1350.777922160321,49.5,359.601431445676,26.62,122.113868794737
674820603,1400.54177188837,478.001914502474,34.13,158.3440581297107,33.13,48.6595385201717
674820701,3392.84933955471,1588.036863786709,46.81,426.169143640275,26.84,149.646031471914
674820702,1803.22303580504,648.958335919318,35.99,216.4972055713197,33.36,81.3843920976397
674820801,1788.81245274488,766.127886578133,42.83,225.8143166400817,29.47,58.8608283437697
674820802,1505.97467723165,421.216534700897,27.97,165.3994801071872,39.27,27.1795661547492
674820803,1522.68233318786,443.92284968869956,29.15,164.75032823847909,37.11,34.9121687146531
674820804,2002.63152614637,608.7588194807514,30.4,214.24680997811882,35.19,39.4159871131288
674820901,1750.70795597144,542.7285371744991,31.0,253.4784011831338,46.7,21.4811531862118
674820902,2105.77668855042,649.273727186247,30.83,331.2902442324118,51.02,83.8901150695328
674820903,1997.66796791649,547.09638826112,27.39,236.52511343689463,43.23,79.4366675171026
674821001,2876.7811024922,1147.706426729831,39.9,452.62767972588296,39.44,112.838987368259
674821002,3273.73671791406,568.589022487464,17.37,215.5455166596974,37.91,58.2880382149084
674821004,3222.98080713227,527.959245197538,16.38,183.0239452891012,34.67,65.2038160609302
